Ticker;Empresa;Volume;Fech. Ant.;Mínima;Máxima;Última;Var.(Dia);Var.(Mês);Var.(12M)
ABEV3;AMBEV S/A;201.01 M;R$ 12,92;R$ 12,87;R$ 13,02;R$ 12,90;-0.15%;-3.37%;+2.97%
ALOS3;ALLOS;20.43 M;R$ 23,60;R$ 23,49;R$ 23,69;R$ 23,52;-0.34%;-6.15%;+0.00%
ALPA4;ALPARGATAS;55.38 M;R$ 8,88;R$ 8,91;R$ 9,53;R$ 9,20;+3.60%;+4.66%;-8.18%
ARZZ3;AREZZO CO;29.19 M;R$ 58,78;R$ 58,56;R$ 59,70;R$ 58,86;+0.14%;-2.97%;-24.92%
ASAI3;ASSAI;32.63 M;R$ 13,16;R$ 13,06;R$ 13,45;R$ 13,32;+1.22%;-8.01%;-29.75%
AZUL4;AZUL;57.07 M;R$ 12,14;R$ 12,16;R$ 12,50;R$ 12,29;+1.24%;-4.88%;+53.05%
B3SA3;B3;134.03 M;R$ 12,86;R$ 12,78;R$ 12,97;R$ 12,81;-0.39%;-8.37%;+16.08%
BBAS3;BRASIL;168.96 M;R$ 58,35;R$ 58,01;R$ 58,59;R$ 58,05;-0.51%;+3.88%;+49.29%
BBDC3;BRADESCO;60.44 M;R$ 12,24;R$ 12,21;R$ 12,44;R$ 12,22;-0.16%;-13.36%;+6.06%
BBDC4;BRADESCO;224.54 M;R$ 13,37;R$ 13,38;R$ 13,63;R$ 13,40;+0.22%;-14.72%;+1.25%
BBSE3;BBSEGURIDADE;326.78 M;R$ 32,93;R$ 32,71;R$ 33,37;R$ 32,95;+0.06%;+2.13%;+1.54%
BEEF3;MINERVA;39.16 M;R$ 6,35;R$ 6,36;R$ 6,59;R$ 6,52;+2.68%;-3.83%;-44.11%
BHIA3;CASAS BAHIA;40.41 M;R$ 7,72;R$ 7,72;R$ 8,36;R$ 8,15;+5.57%;-15.37%;+0.00%
BPAC11;BTGP BANCO;161.66 M;R$ 37,02;R$ 36,43;R$ 37,20;R$ 36,48;-1.46%;-3.59%;+73.90%
BRAP4;BRADESPAR;61.04 M;R$ 21,91;R$ 21,82;R$ 22,04;R$ 21,92;+0.05%;-7.08%;-15.97%
BRFS3;BRF SA;29.19 M;R$ 14,18;R$ 14,23;R$ 14,80;R$ 14,60;+2.96%;+12.05%;+115.66%
BRKM5;BRASKEM;39.28 M;R$ 17,10;R$ 17,26;R$ 17,95;R$ 17,80;+4.09%;-3.31%;-12.32%
CCRO3;CCR SA;20.28 M;R$ 13,73;R$ 13,64;R$ 13,95;R$ 13,70;-0.22%;+2.24%;+25.62%
CIEL3;CIELO;35.07 M;R$ 5,26;R$ 5,25;R$ 5,31;R$ 5,26;+0.00%;+14.10%;+4.03%
CMIG4;CEMIG;18.00 M;R$ 11,29;R$ 11,31;R$ 11,45;R$ 11,40;+0.97%;-3.80%;+14.60%
CMIN3;CSN MINERACA;15.98 M;R$ 6,27;R$ 6,28;R$ 6,50;R$ 6,47;+3.19%;-4.99%;+50.28%
COGN3;COGNA ON;84.48 M;R$ 2,35;R$ 2,34;R$ 2,42;R$ 2,38;+1.28%;-25.63%;+8.62%
CPFE3;CPFL ENERGIA;87.30 M;R$ 35,56;R$ 35,77;R$ 36,19;R$ 35,91;+0.98%;-3.42%;+26.78%
